,State,State Code,City,Occupation Code,Occupation,Employment Count,Average Hourly Wages,Average Annual Wages
27805,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1111,Computer and Information Research Scientists,30,*,*
27806,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1121,Computer Systems Analysts,2800,46.84,97420
27807,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1122,Information Security Analysts,580,50.3,104610
27808,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1131,Computer Programmers,960,38.13,79310
27809,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1132,"Software Developers, Applications",4590,49.12,102160
27810,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1133,"Software Developers, Systems Software",940,58.94,122600
27811,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1134,Web Developers,250,33.95,70610
27812,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1141,Database Administrators,730,44.44,92430
27813,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1142,Network and Computer Systems Administrators,1150,40.47,84180
27814,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1143,Computer Network Architects,600,61.94,128830
27815,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1151,Computer User Support Specialists,1670,28.43,59130
27816,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-1152,Computer Network Support Specialists,540,33.17,68980
27817,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-2011,Actuaries,30,49.37,102690
27818,DE,48864,"Wilmington, DE-MD-NJ Metropolitan Division",15-2031,Operations Research Analysts,870,44.37,92280
28302,FL,15980,"Cape Coral-Fort Myers, FL",15-0000,Computer and Mathematical Occupations,2690,31.51,65530
28303,FL,15980,"Cape Coral-Fort Myers, FL",15-1121,Computer Systems Analysts,340,31.39,65290
28304,FL,15980,"Cape Coral-Fort Myers, FL",15-1122,Information Security Analysts,30,34.76,72300
28305,FL,15980,"Cape Coral-Fort Myers, FL",15-1131,Computer Programmers,130,36.8,76540
28306,FL,15980,"Cape Coral-Fort Myers, FL",15-1132,"Software Developers, Applications",520,37.14,77250
28307,FL,15980,"Cape Coral-Fort Myers, FL",15-1133,"Software Developers, Systems Software",110,51.83,107800
28308,FL,15980,"Cape Coral-Fort Myers, FL",15-1134,Web Developers,110,23.78,49460
28309,FL,15980,"Cape Coral-Fort Myers, FL",15-1141,Database Administrators,80,38.28,79610
28310,FL,15980,"Cape Coral-Fort Myers, FL",15-1142,Network and Computer Systems Administrators,280,34.19,71110
28311,FL,15980,"Cape Coral-Fort Myers, FL",15-1143,Computer Network Architects,150,32.86,68350
28312,FL,15980,"Cape Coral-Fort Myers, FL",15-1151,Computer User Support Specialists,640,21.43,44570
28313,FL,15980,"Cape Coral-Fort Myers, FL",15-1152,Computer Network Support Specialists,110,25.07,52140
28314,FL,15980,"Cape Coral-Fort Myers, FL",15-1199,"Computer Occupations, All Other",**,33.44,69550
28315,FL,15980,"Cape Coral-Fort Myers, FL",15-2031,Operations Research Analysts,50,27.61,57420
28731,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-0000,Computer and Mathematical Occupations,3120,40.96,85200
28732,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1121,Computer Systems Analysts,240,41.91,87180
28733,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1122,Information Security Analysts,210,37.8,78630
28734,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1131,Computer Programmers,70,39.86,82900
28735,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1132,"Software Developers, Applications",390,47.26,98290
28736,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1133,"Software Developers, Systems Software",540,51.95,108050
28737,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1134,Web Developers,40,21.33,44360
28738,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1141,Database Administrators,70,35.92,74720
28739,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1142,Network and Computer Systems Administrators,280,36.3,75500
28740,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1143,Computer Network Architects,190,41.08,85440
28741,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1151,Computer User Support Specialists,350,25.38,52790
28742,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1152,Computer Network Support Specialists,50,31.78,66100
28743,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-1199,"Computer Occupations, All Other",330,38.6,80280
28744,FL,18880,"Crestview-Fort Walton Beach-Destin, FL",15-2031,Operations Research Analysts,160,45.18,93980
29078,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-0000,Computer and Mathematical Occupations,2340,30.45,63340
29079,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1121,Computer Systems Analysts,250,33.52,69710
29080,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1131,Computer Programmers,70,30.42,63280
29081,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1132,"Software Developers, Applications",450,35.03,72850
29082,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1133,"Software Developers, Systems Software",100,49.89,103760
29083,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1134,Web Developers,100,28.81,59930
29084,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1141,Database Administrators,70,31.54,65590
29085,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1142,Network and Computer Systems Administrators,280,33.5,69670
29086,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1143,Computer Network Architects,200,30.64,63740
29087,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1151,Computer User Support Specialists,600,20.83,43330
29088,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1152,Computer Network Support Specialists,60,24.51,50980
29089,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-1199,"Computer Occupations, All Other",70,35.64,74120
29090,FL,19660,"Deltona-Daytona Beach-Ormond Beach, FL",15-2031,Operations Research Analysts,40,32.49,67590
29504,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-0000,Computer and Mathematical Occupations,21130,37,76950
29505,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1121,Computer Systems Analysts,2430,40.55,84350
29506,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1122,Information Security Analysts,350,45.44,94510
29507,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1131,Computer Programmers,1090,34.23,71200
29508,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1132,"Software Developers, Applications",4430,43.26,89970
29509,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1133,"Software Developers, Systems Software",1730,45.42,94480
29510,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1134,Web Developers,730,34.03,70780
29511,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1141,Database Administrators,790,47.49,98780
29512,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1142,Network and Computer Systems Administrators,2080,40.39,84010
29513,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1143,Computer Network Architects,1510,42.19,87750
29514,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1151,Computer User Support Specialists,4120,22.22,46220
29515,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1152,Computer Network Support Specialists,770,26.93,56010
29516,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-1199,"Computer Occupations, All Other",660,33.34,69340
29517,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-2011,Actuaries,30,49.08,102080
29518,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-2031,Operations Research Analysts,340,33.42,69500
29519,FL,22744,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",15-2041,Statisticians,30,30.3,63030
30065,FL,23540,"Gainesville, FL",15-0000,Computer and Mathematical Occupations,3210,30.29,62990
30066,FL,23540,"Gainesville, FL",15-1121,Computer Systems Analysts,470,33.5,69690
30067,FL,23540,"Gainesville, FL",15-1122,Information Security Analysts,50,44.64,92850
30068,FL,23540,"Gainesville, FL",15-1131,Computer Programmers,140,27.89,58010
30069,FL,23540,"Gainesville, FL",15-1132,"Software Developers, Applications",650,35.41,73640
30070,FL,23540,"Gainesville, FL",15-1133,"Software Developers, Systems Software",100,45.67,94990
30071,FL,23540,"Gainesville, FL",15-1134,Web Developers,100,25.72,53510
30072,FL,23540,"Gainesville, FL",15-1141,Database Administrators,90,33.28,69220
30073,FL,23540,"Gainesville, FL",15-1142,Network and Computer Systems Administrators,340,33.99,70700
30074,FL,23540,"Gainesville, FL",15-1143,Computer Network Architects,230,29.47,61300
30075,FL,23540,"Gainesville, FL",15-1151,Computer User Support Specialists,700,19.75,41080
30076,FL,23540,"Gainesville, FL",15-1152,Computer Network Support Specialists,110,23.28,48410
30077,FL,23540,"Gainesville, FL",15-1199,"Computer Occupations, All Other",140,33.79,70290
30078,FL,23540,"Gainesville, FL",15-2031,Operations Research Analysts,60,30.7,63850
30414,FL,26140,"Homosassa Springs, FL",15-0000,Computer and Mathematical Occupations,300,27.99,58220
30415,FL,26140,"Homosassa Springs, FL",15-1131,Computer Programmers,30,28.18,58620
30416,FL,26140,"Homosassa Springs, FL",15-1142,Network and Computer Systems Administrators,30,34.77,72330
30417,FL,26140,"Homosassa Springs, FL",15-1151,Computer User Support Specialists,70,18.62,38720
30622,FL,27260,"Jacksonville, FL",15-0000,Computer and Mathematical Occupations,18020,38.05,79150
30623,FL,27260,"Jacksonville, FL",15-1121,Computer Systems Analysts,1960,40.95,85170
30624,FL,27260,"Jacksonville, FL",15-1122,Information Security Analysts,410,37.98,78990
30625,FL,27260,"Jacksonville, FL",15-1131,Computer Programmers,1210,41.59,86500
30626,FL,27260,"Jacksonville, FL",15-1132,"Software Developers, Applications",3120,43.7,90890
30627,FL,27260,"Jacksonville, FL",15-1133,"Software Developers, Systems Software",1410,50.7,105460
30628,FL,27260,"Jacksonville, FL",15-1134,Web Developers,760,32.59,67780
30629,FL,27260,"Jacksonville, FL",15-1141,Database Administrators,950,40.8,84860
30630,FL,27260,"Jacksonville, FL",15-1142,Network and Computer Systems Administrators,1810,39.68,82530
30631,FL,27260,"Jacksonville, FL",15-1143,Computer Network Architects,1100,38.05,79140
30632,FL,27260,"Jacksonville, FL",15-1151,Computer User Support Specialists,2870,23.87,49650
30633,FL,27260,"Jacksonville, FL",15-1152,Computer Network Support Specialists,720,32.55,67700
30634,FL,27260,"Jacksonville, FL",15-1199,"Computer Occupations, All Other",1080,37.45,77900
30635,FL,27260,"Jacksonville, FL",15-2011,Actuaries,60,53.04,110320
30636,FL,27260,"Jacksonville, FL",15-2031,Operations Research Analysts,550,34.44,71640
31189,FL,29460,"Lakeland-Winter Haven, FL",15-0000,Computer and Mathematical Occupations,3290,32.21,66990
31190,FL,29460,"Lakeland-Winter Haven, FL",15-1121,Computer Systems Analysts,1030,38.85,80810
31191,FL,29460,"Lakeland-Winter Haven, FL",15-1122,Information Security Analysts,60,36.2,75300
31192,FL,29460,"Lakeland-Winter Haven, FL",15-1131,Computer Programmers,220,26.67,55470
31193,FL,29460,"Lakeland-Winter Haven, FL",15-1132,"Software Developers, Applications",240,48.75,101390
31194,FL,29460,"Lakeland-Winter Haven, FL",15-1133,"Software Developers, Systems Software",90,39.01,81130
31195,FL,29460,"Lakeland-Winter Haven, FL",15-1134,Web Developers,50,26.22,54540
31196,FL,29460,"Lakeland-Winter Haven, FL",15-1141,Database Administrators,80,39.84,82870
31197,FL,29460,"Lakeland-Winter Haven, FL",15-1142,Network and Computer Systems Administrators,220,31.93,66410
31198,FL,29460,"Lakeland-Winter Haven, FL",15-1143,Computer Network Architects,210,29.25,60850
31199,FL,29460,"Lakeland-Winter Haven, FL",15-1151,Computer User Support Specialists,680,21.06,43810
31200,FL,29460,"Lakeland-Winter Haven, FL",15-1152,Computer Network Support Specialists,210,22.19,46150
31201,FL,29460,"Lakeland-Winter Haven, FL",15-1199,"Computer Occupations, All Other",120,32.82,68270
31202,FL,29460,"Lakeland-Winter Haven, FL",15-2031,Operations Research Analysts,70,27.19,56560
31629,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-0000,Computer and Mathematical Occupations,20660,36.47,75870
31630,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1121,Computer Systems Analysts,1830,40.66,84580
31631,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1122,Information Security Analysts,540,39.08,81280
31632,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1131,Computer Programmers,1720,39.78,82730
31633,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1132,"Software Developers, Applications",2930,42.15,87680
31634,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1133,"Software Developers, Systems Software",1180,46.47,96660
31635,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1134,Web Developers,990,30.31,63040
31636,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1141,Database Administrators,860,40.29,83800
31637,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1142,Network and Computer Systems Administrators,2430,38.98,81070
31638,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1143,Computer Network Architects,1440,38.04,79130
31639,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1151,Computer User Support Specialists,3660,23.47,48820
31640,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1152,Computer Network Support Specialists,1080,29.8,61980
31641,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-1199,"Computer Occupations, All Other",1300,41.25,85790
31642,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-2011,Actuaries,80,58.51,121690
31643,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-2031,Operations Research Analysts,570,33.6,69890
31644,FL,33124,"Miami-Miami Beach-Kendall, FL Metropolitan Division",15-2041,Statisticians,50,31.96,66470
32233,FL,34940,"Naples-Immokalee-Marco Island, FL",15-0000,Computer and Mathematical Occupations,1490,36.94,76830
32234,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1131,Computer Programmers,40,30.51,63460
32235,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1132,"Software Developers, Applications",300,43.16,89760
32236,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1133,"Software Developers, Systems Software",40,45.42,94470
32237,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1134,Web Developers,70,36.81,76570
32238,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1141,Database Administrators,60,33.24,69140
32239,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1142,Network and Computer Systems Administrators,130,34.39,71540
32240,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1143,Computer Network Architects,110,29.76,61890
32241,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1151,Computer User Support Specialists,280,19.97,41530
32242,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1152,Computer Network Support Specialists,50,31.77,66080
32243,FL,34940,"Naples-Immokalee-Marco Island, FL",15-1199,"Computer Occupations, All Other",**,36.45,75820
32244,FL,34940,"Naples-Immokalee-Marco Island, FL",15-2031,Operations Research Analysts,70,28.3,58860
32592,FL,35840,"North Port-Sarasota-Bradenton, FL",15-0000,Computer and Mathematical Occupations,3670,34.49,71740
32593,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1121,Computer Systems Analysts,290,38.75,80590
32594,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1131,Computer Programmers,110,35.12,73040
32595,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1132,"Software Developers, Applications",600,44.17,91870
32596,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1133,"Software Developers, Systems Software",290,51.82,107790
32597,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1134,Web Developers,180,30.99,64470
32598,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1141,Database Administrators,120,36.78,76500
32599,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1142,Network and Computer Systems Administrators,380,33.51,69700
32600,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1143,Computer Network Architects,280,31.81,66160
32601,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1151,Computer User Support Specialists,930,22.43,46650
32602,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1152,Computer Network Support Specialists,140,31.44,65390
32603,FL,35840,"North Port-Sarasota-Bradenton, FL",15-1199,"Computer Occupations, All Other",240,33.99,70700
32604,FL,35840,"North Port-Sarasota-Bradenton, FL",15-2031,Operations Research Analysts,90,*,*
33041,FL,36100,"Ocala, FL",15-0000,Computer and Mathematical Occupations,780,31.77,66090
33042,FL,36100,"Ocala, FL",15-1121,Computer Systems Analysts,100,40.39,84010
33043,FL,36100,"Ocala, FL",15-1131,Computer Programmers,**,25.28,52590
33044,FL,36100,"Ocala, FL",15-1132,"Software Developers, Applications",50,37.36,77720
33045,FL,36100,"Ocala, FL",15-1134,Web Developers,40,20.48,42590
33046,FL,36100,"Ocala, FL",15-1141,Database Administrators,30,31.62,65770
33047,FL,36100,"Ocala, FL",15-1142,Network and Computer Systems Administrators,110,28.49,59260
33048,FL,36100,"Ocala, FL",15-1143,Computer Network Architects,180,39.13,81380
33049,FL,36100,"Ocala, FL",15-1151,Computer User Support Specialists,150,21.77,45280
33395,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-0000,Computer and Mathematical Occupations,33250,38.41,79900
33396,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1111,Computer and Information Research Scientists,80,44.69,92960
33397,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1121,Computer Systems Analysts,3320,40.82,84910
33398,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1122,Information Security Analysts,1110,45.34,94310
33399,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1131,Computer Programmers,1640,43.67,90840
33400,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1132,"Software Developers, Applications",6150,43.46,90410
33401,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1133,"Software Developers, Systems Software",3380,51.64,107410
33402,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1134,Web Developers,1380,27,56170
33403,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1141,Database Administrators,1400,40.13,83480
33404,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1142,Network and Computer Systems Administrators,2690,41.97,87290
33405,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1143,Computer Network Architects,2040,43.64,90770
33406,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1151,Computer User Support Specialists,5330,23.03,47910
33407,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1152,Computer Network Support Specialists,1540,25.31,52640
33408,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-1199,"Computer Occupations, All Other",2000,36.08,75050
33409,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-2011,Actuaries,90,59.45,123670
33410,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-2031,Operations Research Analysts,900,35.71,74270
33411,FL,36740,"Orlando-Kissimmee-Sanford, FL",15-2041,Statisticians,180,38.44,79950
34005,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-0000,Computer and Mathematical Occupations,9720,41.84,87020
34006,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1111,Computer and Information Research Scientists,50,76.63,159380
34007,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1121,Computer Systems Analysts,740,42.26,87900
34008,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1122,Information Security Analysts,410,43.19,89840
34009,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1131,Computer Programmers,240,30.29,63000
34010,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1132,"Software Developers, Applications",1820,47.53,98860
34011,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1133,"Software Developers, Systems Software",2420,53.36,111000
34012,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1134,Web Developers,160,28.76,59810
34013,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1141,Database Administrators,160,40.87,85000
34014,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1142,Network and Computer Systems Administrators,800,36.97,76900
34015,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1143,Computer Network Architects,640,38.06,79160
34016,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1151,Computer User Support Specialists,730,23.07,47990
34017,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1152,Computer Network Support Specialists,790,25.56,53160
34018,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-1199,"Computer Occupations, All Other",560,40.2,83610
34019,FL,37340,"Palm Bay-Melbourne-Titusville, FL",15-2031,Operations Research Analysts,170,31.51,65530
34431,FL,37460,"Panama City, FL",15-0000,Computer and Mathematical Occupations,1250,36.87,76690
34432,FL,37460,"Panama City, FL",15-1111,Computer and Information Research Scientists,110,51.6,107330
34433,FL,37460,"Panama City, FL",15-1121,Computer Systems Analysts,120,39.51,82180
34434,FL,37460,"Panama City, FL",15-1131,Computer Programmers,50,37.29,77560
34435,FL,37460,"Panama City, FL",15-1132,"Software Developers, Applications",110,37.49,77990
34436,FL,37460,"Panama City, FL",15-1133,"Software Developers, Systems Software",120,42.88,89200
34437,FL,37460,"Panama City, FL",15-1141,Database Administrators,30,34.76,72300
34438,FL,37460,"Panama City, FL",15-1142,Network and Computer Systems Administrators,140,38.53,80150
34439,FL,37460,"Panama City, FL",15-1143,Computer Network Architects,100,33.98,70670
34440,FL,37460,"Panama City, FL",15-1151,Computer User Support Specialists,210,24.27,50480
34441,FL,37460,"Panama City, FL",15-1152,Computer Network Support Specialists,30,23.11,48080
34442,FL,37460,"Panama City, FL",15-2031,Operations Research Analysts,60,44.23,92010
34738,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-0000,Computer and Mathematical Occupations,2830,31.77,66080
34739,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1121,Computer Systems Analysts,250,28.19,58640
34740,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1131,Computer Programmers,60,29.78,61950
34741,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1132,"Software Developers, Applications",360,43.25,89960
34742,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1133,"Software Developers, Systems Software",120,33.27,69190
34743,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1134,Web Developers,110,23.74,49370
34744,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1141,Database Administrators,90,39,81120
34745,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1142,Network and Computer Systems Administrators,310,34.31,71370
34746,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1143,Computer Network Architects,220,39.44,82040
34747,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1151,Computer User Support Specialists,730,19.55,40670
34748,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1152,Computer Network Support Specialists,90,22.65,47110
34749,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-1199,"Computer Occupations, All Other",360,41.36,86020
34750,FL,37860,"Pensacola-Ferry Pass-Brent, FL",15-2031,Operations Research Analysts,80,35.46,73750
35148,FL,38940,"Port St. Lucie, FL",15-0000,Computer and Mathematical Occupations,1910,31.14,64760
35149,FL,38940,"Port St. Lucie, FL",15-1121,Computer Systems Analysts,140,44.82,93230
35150,FL,38940,"Port St. Lucie, FL",15-1131,Computer Programmers,60,34.31,71350
35151,FL,38940,"Port St. Lucie, FL",15-1132,"Software Developers, Applications",270,43.53,90540
35152,FL,38940,"Port St. Lucie, FL",15-1133,"Software Developers, Systems Software",90,40.42,84070
35153,FL,38940,"Port St. Lucie, FL",15-1134,Web Developers,50,25.59,53220
35154,FL,38940,"Port St. Lucie, FL",15-1141,Database Administrators,70,32.29,67170
35155,FL,38940,"Port St. Lucie, FL",15-1142,Network and Computer Systems Administrators,280,34.11,70960
35156,FL,38940,"Port St. Lucie, FL",15-1143,Computer Network Architects,100,37.1,77160
35157,FL,38940,"Port St. Lucie, FL",15-1151,Computer User Support Specialists,640,20.34,42310
35158,FL,38940,"Port St. Lucie, FL",15-1152,Computer Network Support Specialists,100,26.22,54530
35159,FL,38940,"Port St. Lucie, FL",15-1199,"Computer Occupations, All Other",50,27.26,56710
35504,FL,39460,"Punta Gorda, FL",15-0000,Computer and Mathematical Occupations,420,29.85,62080
35505,FL,39460,"Punta Gorda, FL",15-1132,"Software Developers, Applications",60,39.15,81440
35506,FL,39460,"Punta Gorda, FL",15-1142,Network and Computer Systems Administrators,30,33.51,69700
35507,FL,39460,"Punta Gorda, FL",15-1143,Computer Network Architects,40,28.72,59740
35508,FL,39460,"Punta Gorda, FL",15-1151,Computer User Support Specialists,130,20.8,43260
35706,FL,42680,"Sebastian-Vero Beach, FL",15-0000,Computer and Mathematical Occupations,480,30.7,63850
35707,FL,42680,"Sebastian-Vero Beach, FL",15-1131,Computer Programmers,40,27.7,57610
35708,FL,42680,"Sebastian-Vero Beach, FL",15-1132,"Software Developers, Applications",100,45.3,94230
35709,FL,42680,"Sebastian-Vero Beach, FL",15-1142,Network and Computer Systems Administrators,70,33,68630
35710,FL,42680,"Sebastian-Vero Beach, FL",15-1143,Computer Network Architects,50,26.58,55290
35711,FL,42680,"Sebastian-Vero Beach, FL",15-1151,Computer User Support Specialists,130,22.02,45800
35938,FL,42700,"Sebring, FL",15-0000,Computer and Mathematical Occupations,180,25.33,52690
35939,FL,42700,"Sebring, FL",15-1143,Computer Network Architects,40,28.23,58720
35940,FL,42700,"Sebring, FL",15-1151,Computer User Support Specialists,60,17.47,36340
36131,FL,45220,"Tallahassee, FL",15-0000,Computer and Mathematical Occupations,5770,30.65,63750
36132,FL,45220,"Tallahassee, FL",15-1121,Computer Systems Analysts,1050,32.91,68460
36133,FL,45220,"Tallahassee, FL",15-1122,Information Security Analysts,90,45.1,93810
36134,FL,45220,"Tallahassee, FL",15-1131,Computer Programmers,440,30.58,63620
36135,FL,45220,"Tallahassee, FL",15-1132,"Software Developers, Applications",660,43.45,90380
36136,FL,45220,"Tallahassee, FL",15-1133,"Software Developers, Systems Software",240,39.65,82480
36137,FL,45220,"Tallahassee, FL",15-1134,Web Developers,180,26.81,55760
36138,FL,45220,"Tallahassee, FL",15-1141,Database Administrators,240,34.34,71430
36139,FL,45220,"Tallahassee, FL",15-1142,Network and Computer Systems Administrators,870,27.3,56790
36140,FL,45220,"Tallahassee, FL",15-1143,Computer Network Architects,260,37.18,77340
36141,FL,45220,"Tallahassee, FL",15-1151,Computer User Support Specialists,1000,19.57,40710
36142,FL,45220,"Tallahassee, FL",15-1152,Computer Network Support Specialists,120,24.72,51430
