,NAICS,NAICS_TITLE,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
68,11,"Agriculture, Forestry, Fishing and Hunting",17-2112,Industrial Engineers,detailed,40,40.5,0.01,~,39.21,81550,6.3,30.21,32.71,36.25,42.18,55.83,62830,68030,75400,87740,116130,,
69,11,"Agriculture, Forestry, Fishing and Hunting",19-0000,"Life, Physical, and Social Science Occupations",major,3090,8.4,0.73,3,25.47,52980,2.8,13.52,17.16,23.06,31.51,41.79,28130,35690,47960,65530,86920,,
70,11,"Agriculture, Forestry, Fishing and Hunting",19-1000,Life Scientists,minor,1610,11,0.38,~,31.86,66270,2.5,18.12,23.58,30.31,38.63,47.8,37690,49060,63040,80340,99420,,
71,11,"Agriculture, Forestry, Fishing and Hunting",19-1010,Agricultural and Food Scientists,broad,940,14.9,0.22,~,31.32,65140,3.6,17.12,21.93,29.4,38.63,48.73,35620,45620,61160,80360,101360,,
72,11,"Agriculture, Forestry, Fishing and Hunting",19-1011,Animal Scientists,detailed,540,22.2,0.13,~,30.41,63250,4.3,16.8,20.88,28.64,37.49,47.39,34950,43430,59560,77980,98570,,
73,11,"Agriculture, Forestry, Fishing and Hunting",19-1012,Food Scientists and Technologists,detailed,90,16,0.02,~,29.93,62250,5,19.52,23.31,27.71,33.72,44.25,40600,48480,57640,70130,92050,,
74,11,"Agriculture, Forestry, Fishing and Hunting",19-1013,Soil and Plant Scientists,detailed,310,23.2,0.07,1,33.27,69200,6.9,17.55,24.1,31.44,42.75,51.53,36510,50120,65390,88920,107170,,
75,11,"Agriculture, Forestry, Fishing and Hunting",19-1020,Biological Scientists,broad,50,22.6,0.01,~,36.43,75780,7,24.45,27,32.94,44.06,49.48,50850,56150,68510,91640,102920,,
76,11,"Agriculture, Forestry, Fishing and Hunting",19-1029,"Biological Scientists, All Other",detailed,40,24.8,0.01,~,37.38,77750,7.9,24.6,27.31,34.05,44.46,50.59,51160,56810,70830,92480,105220,,
77,11,"Agriculture, Forestry, Fishing and Hunting",19-1030,Conservation Scientists and Foresters,broad,620,15.4,0.15,~,32.33,67240,3,20.33,25.02,31.72,38.32,46.31,42290,52040,65980,79700,96330,,
78,11,"Agriculture, Forestry, Fishing and Hunting",19-1032,Foresters,detailed,590,16,0.14,1,32.13,66820,3.1,20.32,24.98,31.76,38.2,46.09,42270,51960,66060,79460,95870,,
79,11,"Agriculture, Forestry, Fishing and Hunting",19-4000,"Life, Physical, and Social Science Technicians",minor,1460,10.6,0.35,~,18.51,38500,2.2,11.95,14.39,18.12,22.42,26.28,24850,29930,37690,46640,54660,,
80,11,"Agriculture, Forestry, Fishing and Hunting",19-4010,Agricultural and Food Science Technicians,broad,1320,11.6,0.31,~,18.24,37940,2.3,11.94,14.3,17.93,22.07,24.98,24840,29740,37280,45900,51970,,
81,11,"Agriculture, Forestry, Fishing and Hunting",19-4011,Agricultural and Food Science Technicians,detailed,1320,11.6,0.31,1,18.24,37940,2.3,11.94,14.3,17.93,22.07,24.98,24840,29740,37280,45900,51970,,
82,11,"Agriculture, Forestry, Fishing and Hunting",19-4020,Biological Technicians,broad,70,25.8,0.02,~,17.27,35910,8.4,10.15,12.72,16.65,20.75,27.03,21110,26470,34640,43170,56230,,
83,11,"Agriculture, Forestry, Fishing and Hunting",19-4021,Biological Technicians,detailed,70,25.8,0.02,~,17.27,35910,8.4,10.15,12.72,16.65,20.75,27.03,21110,26470,34640,43170,56230,,
84,11,"Agriculture, Forestry, Fishing and Hunting",19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",broad,80,31.4,0.02,~,24.42,50800,8,15.56,20.24,25.11,28.68,32.14,32370,42090,52230,59640,66850,,
85,11,"Agriculture, Forestry, Fishing and Hunting",19-4093,Forest and Conservation Technicians,detailed,60,36.1,0.02,~,24.53,51020,11.4,14.99,20.46,25.04,28.77,33.18,31180,42560,52090,59840,69010,,
86,11,"Agriculture, Forestry, Fishing and Hunting",25-0000,"Education, Training, and Library Occupations",major,410,14.3,0.1,1,20.91,43490,8.6,9.74,12.15,18.48,26.35,33.53,20260,25280,38440,54820,69740,,
87,11,"Agriculture, Forestry, Fishing and Hunting",25-3000,Other Teachers and Instructors,minor,360,14.5,0.09,~,18.54,38550,5.1,9.73,11.86,17.54,23.97,29.06,20230,24670,36480,49860,60450,,
88,11,"Agriculture, Forestry, Fishing and Hunting",25-3020,Self-Enrichment Education Teachers,broad,360,14.5,0.09,~,18.54,38550,5.1,9.73,11.86,17.54,23.97,29.06,20230,24670,36480,49860,60450,,
89,11,"Agriculture, Forestry, Fishing and Hunting",25-3021,Self-Enrichment Education Teachers,detailed,360,14.5,0.09,1,18.54,38550,5.1,9.73,11.86,17.54,23.97,29.06,20230,24670,36480,49860,60450,,
90,11,"Agriculture, Forestry, Fishing and Hunting",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,100,15.7,0.02,~,25.82,53710,7.5,13.06,17.64,23.91,34.27,41.06,27160,36690,49720,71290,85400,,
91,11,"Agriculture, Forestry, Fishing and Hunting",27-3000,Media and Communication Workers,minor,70,19.6,0.02,~,27.28,56740,8.3,14.6,18.57,25,35.92,43.08,30370,38630,52000,74720,89600,,
92,11,"Agriculture, Forestry, Fishing and Hunting",27-3030,Public Relations Specialists,broad,60,20.8,0.01,~,27.69,57600,9.9,15.63,18.79,24.82,36.55,44.23,32500,39090,51630,76020,92000,,
93,11,"Agriculture, Forestry, Fishing and Hunting",27-3031,Public Relations Specialists,detailed,60,20.8,0.01,~,27.69,57600,9.9,15.63,18.79,24.82,36.55,44.23,32500,39090,51630,76020,92000,,
94,11,"Agriculture, Forestry, Fishing and Hunting",29-0000,Healthcare Practitioners and Technical Occupations,major,300,10.2,0.07,1,28.2,58660,7.8,12.95,14.88,24.8,39.15,47.49,26930,30950,51580,81440,98790,,
95,11,"Agriculture, Forestry, Fishing and Hunting",29-1000,Health Diagnosing and Treating Practitioners,minor,90,23.4,0.02,~,41.75,86850,6.1,15.37,34.06,41.3,48.1,65.36,31980,70840,85910,100050,135950,,
96,11,"Agriculture, Forestry, Fishing and Hunting",29-1130,Veterinarians,broad,80,24.5,0.02,~,41.64,86620,6.5,15.02,33.68,40.9,48.22,66.32,31240,70050,85070,100310,137950,,
97,11,"Agriculture, Forestry, Fishing and Hunting",29-1131,Veterinarians,detailed,80,24.5,0.02,~,41.64,86620,6.5,15.02,33.68,40.9,48.22,66.32,31240,70050,85070,100310,137950,,
98,11,"Agriculture, Forestry, Fishing and Hunting",29-2000,Health Technologists and Technicians,minor,50,24.6,0.01,~,17.08,35520,4,9.38,15.12,16.99,18.74,23.29,19520,31440,35340,38990,48440,,
99,11,"Agriculture, Forestry, Fishing and Hunting",29-2050,Health Practitioner Support Technologists and Technicians,broad,50,24.6,0.01,~,17.08,35520,4,9.38,15.12,16.99,18.74,23.29,19520,31440,35340,38990,48440,,
100,11,"Agriculture, Forestry, Fishing and Hunting",29-2056,Veterinary Technologists and Technicians,detailed,50,24.6,0.01,~,17.08,35520,4,9.38,15.12,16.99,18.74,23.29,19520,31440,35340,38990,48440,,
101,11,"Agriculture, Forestry, Fishing and Hunting",29-9000,Other Healthcare Practitioners and Technical Occupations,minor,170,10.8,0.04,~,24.35,50650,10.6,12.73,14.1,19.62,34.2,42.49,26490,29330,40810,71130,88380,,
102,11,"Agriculture, Forestry, Fishing and Hunting",29-9010,Occupational Health and Safety Specialists and Technicians,broad,170,10.8,0.04,~,24.35,50650,10.6,12.73,14.1,19.62,34.2,42.49,26490,29330,40810,71130,88380,,
103,11,"Agriculture, Forestry, Fishing and Hunting",29-9011,Occupational Health and Safety Specialists,detailed,130,7.6,0.03,~,21.75,45250,11.8,12.52,13.56,16.14,30.18,38.64,26040,28210,33570,62770,80370,,
104,11,"Agriculture, Forestry, Fishing and Hunting",29-9012,Occupational Health and Safety Technicians,detailed,40,38.9,0.01,~,32.78,68180,6.1,18.14,24.98,33.83,41.26,46.84,37730,51960,70360,85810,97420,,
105,11,"Agriculture, Forestry, Fishing and Hunting",31-0000,Healthcare Support Occupations,major,50,21.6,0.01,~,16.5,34330,5.4,12.25,13.96,16.16,17.98,19.08,25480,29040,33610,37390,39680,,
106,11,"Agriculture, Forestry, Fishing and Hunting",31-9000,Other Healthcare Support Occupations,minor,50,21.6,0.01,~,16.5,34330,5.4,12.25,13.96,16.16,17.98,19.08,25480,29040,33610,37390,39680,,
107,11,"Agriculture, Forestry, Fishing and Hunting",31-9090,Miscellaneous Healthcare Support Occupations,broad,50,21.6,0.01,~,16.5,34330,5.4,12.25,13.96,16.16,17.98,19.08,25480,29040,33610,37390,39680,,
108,11,"Agriculture, Forestry, Fishing and Hunting",31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,50,22.5,0.01,~,16.92,35180,4.8,12.87,14.43,16.36,18.08,19.27,26760,30010,34040,37600,40080,,
109,11,"Agriculture, Forestry, Fishing and Hunting",33-0000,Protective Service Occupations,major,400,11.6,0.09,1,13.97,29070,4.2,9.57,10.01,12.23,14.62,23.1,19910,20820,25430,30410,48050,,
110,11,"Agriculture, Forestry, Fishing and Hunting",33-9000,Other Protective Service Workers,minor,390,11.6,0.09,~,13.9,28920,4.3,9.57,10.01,12.21,14.58,22.72,19900,20820,25390,30330,47250,,
111,11,"Agriculture, Forestry, Fishing and Hunting",33-9030,Security Guards and Gaming Surveillance Officers,broad,380,11.6,0.09,~,13.35,27780,2.9,9.51,10.01,12.05,14.26,20.03,19780,20810,25070,29670,41670,,
112,11,"Agriculture, Forestry, Fishing and Hunting",33-9032,Security Guards,detailed,380,11.6,0.09,1,13.35,27780,2.9,9.51,10.01,12.05,14.26,20.03,19780,20810,25070,29670,41670,,
113,11,"Agriculture, Forestry, Fishing and Hunting",35-0000,Food Preparation and Serving Related Occupations,major,80,19.2,0.02,~,14.78,30740,6.6,8.45,9.22,12.85,17.49,23.44,17580,19170,26720,36380,48740,,
114,11,"Agriculture, Forestry, Fishing and Hunting",35-2000,Cooks and Food Preparation Workers,minor,60,23.5,0.01,~,13.07,27190,6,8.15,8.92,12.58,16.09,21.19,16940,18550,26170,33470,44060,,
115,11,"Agriculture, Forestry, Fishing and Hunting",35-2010,Cooks,broad,40,33.8,0.01,~,13.51,28100,6.6,7.93,8.76,13.04,17.62,22.04,16500,18220,27120,36640,45840,,
116,11,"Agriculture, Forestry, Fishing and Hunting",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4610,8.8,1.09,6,15.99,33250,3.5,9.83,11.23,14.36,18.51,24.18,20440,23350,29870,38500,50280,,
117,11,"Agriculture, Forestry, Fishing and Hunting",37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,minor,180,37.7,0.04,~,*,*,*,*,*,*,*,*,*,*,*,*,*,,
118,11,"Agriculture, Forestry, Fishing and Hunting",37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,180,37.7,0.04,~,*,*,*,*,*,*,*,*,*,*,*,*,*,,
119,11,"Agriculture, Forestry, Fishing and Hunting",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,170,41.3,0.04,~,28.13,58510,8.3,16.06,21.51,27.51,32.65,43.23,33400,44750,57220,67910,89910,,
120,11,"Agriculture, Forestry, Fishing and Hunting",37-2000,Building Cleaning and Pest Control Workers,minor,1580,8.6,0.37,~,13.1,27260,3.9,9.2,10.33,11.61,14.45,18.21,19140,21500,24150,30050,37880,,
121,11,"Agriculture, Forestry, Fishing and Hunting",37-2010,Building Cleaning Workers,broad,1580,8.6,0.37,~,13.09,27230,3.9,9.21,10.33,11.61,14.43,18.18,19150,21500,24140,30000,37810,,
122,11,"Agriculture, Forestry, Fishing and Hunting",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,1470,8.8,0.35,2,12.43,25860,1.7,9.24,10.33,11.54,14.11,17.23,19220,21500,24000,29340,35840,,
123,11,"Agriculture, Forestry, Fishing and Hunting",37-2012,Maids and Housekeeping Cleaners,detailed,110,37.6,0.02,~,22.23,46240,11.8,8.69,10.6,17.81,35.56,38.97,18080,22040,37040,73960,81060,,
124,11,"Agriculture, Forestry, Fishing and Hunting",37-3000,Grounds Maintenance Workers,minor,2850,12.3,0.67,~,16.84,35020,4.1,10.4,12.19,15.91,19.28,24.23,21630,25350,33100,40100,50390,,
125,11,"Agriculture, Forestry, Fishing and Hunting",37-3010,Grounds Maintenance Workers,broad,2850,12.3,0.67,~,16.84,35020,4.1,10.4,12.19,15.91,19.28,24.23,21630,25350,33100,40100,50390,,
126,11,"Agriculture, Forestry, Fishing and Hunting",37-3011,Landscaping and Groundskeeping Workers,detailed,950,13,0.22,2,14,29120,2.5,9.96,11.25,13.33,16.32,18.87,20710,23390,27720,33940,39260,,
